Date,MSCI Emerging Markets
2009-02,85414.29984
2009-03,92826.04707
2009-04,108556.6404
2009-05,119744.9151
2009-06,117854.722
2009-07,131154.3512
2009-08,129492.7478
2009-09,137688.7936
2009-10,136409.265
2009-11,140163.7497
2009-12,151957.1831
2010-01,148028.0613
2010-02,152915.9901
2010-03,166389.2569
2010-04,170516.9979
2010-05,168336.1404
2010-06,167619.0439
2010-07,171138.7452
2010-08,172479.9079
2010-09,178076.4005
2010-10,180498.5299
2010-11,187355.233
2010-12,195278.2478
2011-01,185437.568
2011-02,181849.7065
2011-03,187514.2525
2011-04,184874.2588
2011-05,186045.556
2011-06,182399.5346
2011-07,184172.9358
2011-08,165575.8824
2011-09,151384.9665
2011-10,165353.6438
2011-11,161048.4143
2011-12,165013.4802
2012-01,180456.9307
2012-02,187500.1249
2012-03,182442.9011
2012-04,182250.9252
2012-05,172493.7208
2012-06,176570.0364
2012-07,184628.906
2012-08,179321.7595
2012-09,185485.9139
2012-10,183485.7269
2012-11,185928.9268
2012-12,191967.5291
2013-01,189530.2112
2013-02,193178.3601
2013-03,194697.7743
2013-04,192233.2526
2013-05,188342.8132
2013-06,175443.937
2013-07,174766.4673
2013-08,172352.9298
2013-09,179944.846
2013-10,186832.3536
2013-11,184520.8121
2013-12,179494.297
2014-01,171294.3968
2014-02,173198.8424
2014-03,178877.9829
2014-04,178740.1712
2014-05,188323.9199
2014-06,192690.4573
2014-07,200673.8643
2014-08,208249.3574
2014-09,202129.2216
2014-10,205499.4848
2014-11,204006.0384
2014-12,200184.9042
2015-01,216294.7492
2015-02,224307.686
2015-03,231050.3493
2015-04,238760.1627
2015-05,234364.884
2015-06,223985.0736
2015-07,212818.8881
2015-08,189362.0608
2015-09,183929.7247
2015-10,200389.6491
2015-11,200560.0987
2015-12,190652.2052
2016-01,177755.6745
2016-02,178006.0308
2016-03,192804.5021
2016-04,193584.7826
2016-05,190563.0684
2016-06,199295.8268
2016-07,209232.3471
2016-08,214135.644
2016-09,216389.0688
2016-10,221184.7757
2016-11,217187.7351
2016-12,219759.9208
2017-01,227184.6567
2017-02,237647.8995
2017-03,241563.6882
2017-04,241503.2687
2017-05,242244.0892
2017-06,240749.2248
2017-07,248435.9917
2017-08,251964.6288
2017-09,251423.9187
2017-10,264010.5204
2017-11,259843.8935
2017-12,266073.0086
2018-01,277531.5669
2018-02,270039.1987
2018-03,262785.5081
